    PID TTY      STAT   TIME COMMAND
  48053 ?        Z      0:00 [sh] <defunct>
  48055 ?        Z      0:00 [sh] <defunct>
  48057 ?        Z      0:00 [sh] <defunct>
  48059 ?        Z      0:00 [sh] <defunct>
  48090 ?        Z      0:00 [sh] <defunct>
  48092 ?        Z      0:00 [sh] <defunct>
  48094 ?        Z      0:00 [sh] <defunct>
  48096 ?        Z      0:00 [sh] <defunct>
  48098 ?        Z      0:00 [sh] <defunct>
  48100 ?        Z      0:00 [sh] <defunct>
  48102 ?        Z      0:00 [sh] <defunct>
  48104 ?        Z      0:00 [sh] <defunct>
  48128 ?        Z      0:00 [sh] <defunct>
  48130 ?        Z      0:00 [sh] <defunct>
  48132 ?        Z      0:00 [sh] <defunct>
  48134 ?        Z      0:00 [sh] <defunct>
  48138 ?        Z      0:00 [sh] <defunct>
  48142 ?        Z      0:00 [sh] <defunct>
  48146 ?        Z      0:00 [sh] <defunct>
  48153 ?        Z      0:00 [sh] <defunct>
  48230 ?        Z      0:00 [sh] <defunct>
  48232 ?        Z      0:00 [sh] <defunct>
  48234 ?        Z      0:00 [sh] <defunct>
  48236 ?        Z      0:00 [sh] <defunct>
  48242 ?        Z      0:00 [sh] <defunct>
  48244 ?        Z      0:00 [sh] <defunct>
  48246 ?        Z      0:00 [sh] <defunct>
  48248 ?        Z      0:00 [sh] <defunct>
  48272 ?        Z      0:00 [sh] <defunct>
  48274 ?        Z      0:00 [sh] <defunct>
  48278 ?        Z      0:00 [sh] <defunct>
  48280 ?        Z      0:00 [sh] <defunct>
  48282 ?        Z      0:00 [sh] <defunct>
  48289 ?        Z      0:00 [sh] <defunct>
  48291 ?        Z      0:00 [sh] <defunct>
  48293 ?        Z      0:00 [sh] <defunct>
  48317 ?        Z      0:00 [sh] <defunct>
  48319 ?        Z      0:00 [sh] <defunct>
  48321 ?        Z      0:00 [sh] <defunct>
  48325 ?        Z      0:00 [sh] <defunct>
  48331 ?        Z      0:00 [sh] <defunct>
  48335 ?        Z      0:00 [sh] <defunct>
  48339 ?        Z      0:00 [sh] <defunct>
  48346 ?        Z      0:00 [sh] <defunct>
  48372 ?        Z      0:00 [sh] <defunct>
  48374 ?        Z      0:00 [sh] <defunct>
  48376 ?        Z      0:00 [sh] <defunct>
  48378 ?        Z      0:00 [sh] <defunct>
  48380 ?        Z      0:00 [sh] <defunct>
  48382 ?        Z      0:00 [sh] <defunct>
  48384 ?        Z      0:00 [sh] <defunct>
  48386 ?        Z      0:00 [sh] <defunct>
  48406 ?        Z      0:00 [sh] <defunct>
  48408 ?        Z      0:00 [sh] <defunct>
  48410 ?        Z      0:00 [sh] <defunct>
  48412 ?        Z      0:00 [sh] <defunct>
  48420 ?        Z      0:00 [sh] <defunct>
  48422 ?        Z      0:00 [sh] <defunct>
  48424 ?        Z      0:00 [sh] <defunct>
  48431 ?        Z      0:00 [sh] <defunct>
  48443 ?        Ss     0:00 /bin/sh -c php /var/www/www-root/data/www/progs.com/artisan schedule:run >> /var/www/www-root/data/www/progs.com/test.log
  48454 ?        S      1:12 php /var/www/www-root/data/www/progs.com/artisan schedule:run
  48488 ?        S      0:00 sh -c '/usr/bin/php8.3' 'artisan' app:tg_parse:specialist > '/var/www/www-root/data/www/progs.com/tg_parse_specialist_5.log' 2>&1
  48489 ?        S      1:55 /usr/bin/php8.3 artisan app:tg_parse:specialist
  48492 ?        Z      0:00 [sh] <defunct>
  48495 ?        Z      0:00 [sh] <defunct>
  48497 ?        Z      0:00 [sh] <defunct>
  48499 ?        Z      0:00 [sh] <defunct>
  48501 ?        Z      0:00 [sh] <defunct>
  48503 ?        Z      0:00 [sh] <defunct>
  48505 ?        Z      0:00 [sh] <defunct>
  48507 ?        Z      0:00 [sh] <defunct>
  48509 ?        Z      0:00 [sh] <defunct>
  48511 ?        Z      0:00 [sh] <defunct>
  48533 ?        Z      0:00 [sh] <defunct>
  48537 ?        Z      0:00 [sh] <defunct>
  48539 ?        Z      0:00 [sh] <defunct>
  48541 ?        Z      0:00 [sh] <defunct>
  48543 ?        Z      0:00 [sh] <defunct>
  48545 ?        Z      0:00 [sh] <defunct>
  48547 ?        Z      0:00 [sh] <defunct>
  48549 ?        Z      0:00 [sh] <defunct>
  48551 ?        Z      0:00 [sh] <defunct>
  48553 ?        Z      0:00 [sh] <defunct>
  48578 ?        Z      0:00 [sh] <defunct>
  48580 ?        Z      0:00 [sh] <defunct>
  48582 ?        Z      0:00 [sh] <defunct>
  48584 ?        Z      0:00 [sh] <defunct>
  48586 ?        Z      0:00 [sh] <defunct>
  48588 ?        Z      0:00 [sh] <defunct>
  48590 ?        Z      0:00 [sh] <defunct>
  48592 ?        Z      0:00 [sh] <defunct>
  48594 ?        Z      0:00 [sh] <defunct>
  48615 ?        Z      0:00 [sh] <defunct>
  48617 ?        Z      0:00 [sh] <defunct>
  48619 ?        Z      0:00 [sh] <defunct>
  48621 ?        Z      0:00 [sh] <defunct>
  48623 ?        Z      0:00 [sh] <defunct>
  48629 ?        Z      0:00 [sh] <defunct>
  48631 ?        Z      0:00 [sh] <defunct>
  48633 ?        Z      0:00 [sh] <defunct>
  48635 ?        Z      0:00 [sh] <defunct>
  48637 ?        Z      0:00 [sh] <defunct>
  48661 ?        Z      0:00 [sh] <defunct>
  48663 ?        Z      0:00 [sh] <defunct>
  48665 ?        Z      0:00 [sh] <defunct>
  48667 ?        Z      0:00 [sh] <defunct>
  48669 ?        Z      0:00 [sh] <defunct>
  48671 ?        Z      0:00 [sh] <defunct>
  48673 ?        Z      0:00 [sh] <defunct>
  48675 ?        Z      0:00 [sh] <defunct>
  48682 ?        Z      0:00 [sh] <defunct>
  48684 ?        Z      0:00 [sh] <defunct>
  48708 ?        Ss     0:00 /bin/sh -c php /var/www/www-root/data/www/progs.com/artisan schedule:run >> /var/www/www-root/data/www/progs.com/test.log
  48714 ?        S      1:11 php /var/www/www-root/data/www/progs.com/artisan schedule:run
  48741 ?        S      0:00 sh -c '/usr/bin/php8.3' 'artisan' app:tg_parse:specialist > '/var/www/www-root/data/www/progs.com/tg_parse_specialist_5.log' 2>&1
  48742 ?        S      1:56 /usr/bin/php8.3 artisan app:tg_parse:specialist
  48746 ?        Z      0:00 [sh] <defunct>
  48748 ?        Z      0:00 [sh] <defunct>
  48750 ?        Z      0:00 [sh] <defunct>
  48752 ?        Z      0:00 [sh] <defunct>
  48754 ?        Z      0:00 [sh] <defunct>
